SKU,Description,Brand,Category,Warehouse,QtyOnHand,ReorderPoint,LeadTimeDays,UnitCostRM,LastSaleDate,AvgMonthlySales,Status
ABB-XT2N-160,Tmax XT2N 160 MCCB 3P 160A,ABB,Circuit Breaker,KL-Main,42,80,21,1850.00,2026-05-19,28,Reorder
ABB-XT2N-160,Tmax XT2N 160 MCCB 3P 160A,ABB,Circuit Breaker,Penang,18,40,21,1850.00,2026-05-18,12,Reorder
ABB-XT2N-160,Tmax XT2N 160 MCCB 3P 160A,ABB,Circuit Breaker,JB,9,30,21,1850.00,2026-05-15,10,Critical
SCH-IC60N-C32,iC60N MCB 1P C32A,Schneider,Circuit Breaker,KL-Main,612,200,14,68.50,2026-05-20,180,Healthy
SCH-IC60N-C32,iC60N MCB 1P C32A,Schneider,Circuit Breaker,Penang,210,120,14,68.50,2026-05-20,95,Healthy
SCH-IC60N-C32,iC60N MCB 1P C32A,Schneider,Circuit Breaker,JB,88,80,14,68.50,2026-05-20,72,Healthy
SCH-IC60N-C32,iC60N MCB 1P C32A,Schneider,Circuit Breaker,Kuching,12,60,21,68.50,2026-05-12,48,Critical
SIE-3RT2025,Sirius Contactor 3RT2025 7.5kW 24VDC,Siemens,Contactor,KL-Main,145,100,28,485.00,2026-05-20,55,Healthy
SIE-3RT2025,Sirius Contactor 3RT2025 7.5kW 24VDC,Siemens,Contactor,Penang,38,60,28,485.00,2026-05-19,32,Reorder
SIE-3RT2025,Sirius Contactor 3RT2025 7.5kW 24VDC,Siemens,Contactor,JB,72,50,28,485.00,2026-05-20,28,Healthy
PHI-LED-RC360B,LED RC360B G2 60W 4000K,Philips,Lighting,KL-Main,2400,1500,10,42.00,2026-05-20,820,Healthy
PHI-LED-RC360B,LED RC360B G2 60W 4000K,Philips,Lighting,Penang,890,800,10,42.00,2026-05-20,410,Healthy
PHI-LED-RC360B,LED RC360B G2 60W 4000K,Philips,Lighting,JB,1100,700,10,42.00,2026-05-19,380,Healthy
LEG-ATLX-25A,Atlantic IP55 Distribution Box 25 Way,Legrand,Enclosure,KL-Main,55,30,35,1280.00,2026-05-17,18,Healthy
LEG-ATLX-25A,Atlantic IP55 Distribution Box 25 Way,Legrand,Enclosure,Penang,8,20,35,1280.00,2026-04-28,12,Critical
LEG-ATLX-25A,Atlantic IP55 Distribution Box 25 Way,Legrand,Enclosure,Kuching,2,15,42,1280.00,2026-03-05,6,Slow-Mover
ROC-700-CF52,Allen-Bradley 700-CF52 Relay,Rockwell,Relay,KL-Main,320,150,30,148.00,2026-05-20,85,Healthy
ROC-700-CF52,Allen-Bradley 700-CF52 Relay,Rockwell,Relay,JB,140,100,30,148.00,2026-05-18,55,Healthy
EAT-9000X-CV3,Eaton 9000X VFD 22kW 380V,Eaton,VFD/Drive,KL-Main,12,15,45,8420.00,2026-05-16,5,Reorder
EAT-9000X-CV3,Eaton 9000X VFD 22kW 380V,Eaton,VFD/Drive,Penang,3,8,45,8420.00,2026-04-22,4,Critical
EAT-9000X-CV3,Eaton 9000X VFD 22kW 380V,Eaton,VFD/Drive,JB,18,10,45,8420.00,2026-05-20,6,Healthy
WAGO-2273-202,Wago 2273 Splicing Connector 2-way,Wago,Connector,KL-Main,18500,8000,7,1.25,2026-05-20,5200,Healthy
WAGO-2273-202,Wago 2273 Splicing Connector 2-way,Wago,Connector,Penang,9200,5000,7,1.25,2026-05-20,2800,Healthy
PRY-AFUMEX-2.5,Afumex 1000V XLPE 2.5mm² (per meter),Prysmian,Cable,KL-Main,42000,20000,14,3.85,2026-05-20,14000,Healthy
PRY-AFUMEX-2.5,Afumex 1000V XLPE 2.5mm² (per meter),Prysmian,Cable,Penang,18500,15000,14,3.85,2026-05-19,7800,Reorder
PRY-AFUMEX-2.5,Afumex 1000V XLPE 2.5mm² (per meter),Prysmian,Cable,JB,22000,12000,14,3.85,2026-05-20,6500,Healthy
HAG-VEKTOR-MV,Hager Vektor MV Switchgear Panel,Hager,Switchgear,KL-Main,4,3,90,52000.00,2026-02-14,2,Slow-Mover
HAG-VEKTOR-MV,Hager Vektor MV Switchgear Panel,Hager,Switchgear,Penang,1,2,90,52000.00,2025-12-10,1,Slow-Mover
HAG-VEKTOR-MV,Hager Vektor MV Switchgear Panel,Hager,Switchgear,Kuching,0,1,120,52000.00,2025-09-22,0,Slow-Mover
OMR-E5CC-RX2,Omron E5CC Temperature Controller,Omron,Instrumentation,KL-Main,88,50,21,612.00,2026-05-20,32,Healthy
OMR-E5CC-RX2,Omron E5CC Temperature Controller,Omron,Instrumentation,JB,22,30,21,612.00,2026-05-15,15,Reorder
